Proficiency level,Preferred subjects,Preferred study times,Goals,Quiz scores,Completion rates,Time spent on different types of content,Curriculum structure,Available content,External factors,Learning style
Low,Software,Morning,Short-term,1,1,1,Exam,Lectures,Time Constraints,Visual
Low,Software,Morning,Short-term,1,2,2,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,3,3,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,4,4,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,5,5,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,6,6,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,7,7,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,8,8,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,9,9,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,10,10,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,1,11,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,2,12,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,3,13,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,4,14,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,5,15,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,6,16,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,7,2,Exam,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,8,2,Knowledge,Quiz,Time Constraints,Visual
Low,Software,Morning,Short-term,1,9,2,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,10,8,Knowledge,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,1,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,2,8,Knowledge,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,3,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,4,8,Knowledge,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,5,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,7,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,8,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,9,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,10,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,1,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,2,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,3,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,4,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,5,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,6,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,7,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,8,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,9,8,Exam,Quiz,Time Constraints,Visual
Medium,Software,Morning,Short-term,1,10,8,Exam,Quiz,Time Constraints,Visual
