Proficiency level,Preferred subjects,Preferred study times,Goals,quiz scores,Completion rates,Time spent on different types of content,Curriculum structure,Available content,External factors,Learning style
beginner,Network and System Administration,Morning,Short-term,1,1,52,Exam,video,Time Constraints,Visual
beginner,Software Engineering and Development,Morning,Short-term,1,2,52,Knowledge,quiz,Time Constraints,Visual
beginner,Devops and Systems Integration,Morning,Short-term,1,3,22,Exam,quiz,Time Constraints,Visual
beginner,Database Management,Morning,Short-term,1,4,35,Knowledge,quiz,Time Constraints,Visual
beginner,Network and System Administration,Morning,Short-term,1,5,60,Exam,quiz,Time Constraints,Visual
beginner,Cloud Computing,Morning,Short-term,1,6,48,Knowledge,quiz,Time Constraints,Visual
beginner,Network and System Administration,Morning,Short-term,1,7,54,Exam,quiz,Time Constraints,Visual
beginner,Network and System Administration,Morning,Short-term,1,8,27,Knowledge,quiz,Time Constraints,Visual
beginner,Artificial Intelligence and Machine Learning,Morning,Short-term,1,9,32,Exam,quiz,Time Constraints,Visual
beginner,Artificial Intelligence and Machine Learning,Morning,Short-term,1,10,14,Knowledge,quiz,Time Constraints,Visual
beginner,IT Project Management,Morning,Short-term,1,1,9,Exam,quiz,Time Constraints,Visual
beginner,IT Project Management,Morning,Short-term,1,2,13,Knowledge,quiz,Time Constraints,Visual
beginner,Network and System Administration,Morning,Short-term,1,3,56,Exam,quiz,Time Constraints,Visual
beginner,Network and System Administration,Morning,Short-term,1,4,30,Knowledge,quiz,Time Constraints,Visual
beginner,Cloud Computing,Morning,Short-term,1,5,44,Exam,quiz,Time Constraints,Visual
beginner,IT Project Management,Morning,Short-term,1,6,30,Knowledge,quiz,Time Constraints,Visual
beginner,Artificial Intelligence and Machine Learning,Morning,Short-term,1,7,35,Exam,quiz,Time Constraints,Visual
beginner,Cloud Computing,Morning,Short-term,1,8,5,Knowledge,quiz,Time Constraints,Visual
beginner,Web Development,Morning,Short-term,1,9,25,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Short-term,1,10,52,Knowledge,quiz,Time Constraints,Visual
intermediate,Cloud Computing,Morning,Short-term,1,1,25,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,2,8,Knowledge,quiz,Time Constraints,Visual
intermediate,Cloud Computing,Morning,Short-term,1,3,41,Exam,quiz,Time Constraints,Visual
intermediate,Database Management,Morning,Short-term,1,4,19,Knowledge,quiz,Time Constraints,Visual
intermediate,Data Science and Analytics,Morning,Short-term,1,5,50,Exam,quiz,Time Constraints,Visual
intermediate,Cloud Computing,Morning,Short-term,1,6,26,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,7,43,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Short-term,1,8,57,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Short-term,1,9,48,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Short-term,1,10,2,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Short-term,1,1,7,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,2,24,Exam,quiz,Time Constraints,Visual
intermediate,Web Development,Morning,Short-term,1,3,53,Exam,quiz,Time Constraints,Visual
intermediate,Web Development,Morning,Short-term,1,4,3,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Short-term,1,5,18,Exam,quiz,Time Constraints,Visual
intermediate,Cloud Computing,Morning,Short-term,1,6,44,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Short-term,1,7,56,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Short-term,1,8,25,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Short-term,1,9,25,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,10,52,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,1,48,Exam,quiz,Time Constraints,Visual
intermediate,Software Engineering and Development,Morning,Short-term,1,2,36,Exam,quiz,Time Constraints,Visual
intermediate,Cloud Computing,Morning,Short-term,1,3,22,Exam,quiz,Time Constraints,Visual
intermediate,Database Management,Morning,Short-term,1,4,17,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Short-term,1,5,11,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Short-term,1,6,52,Exam,quiz,Time Constraints,Visual
intermediate,Data Science and Analytics,Morning,Short-term,1,7,38,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Short-term,1,8,16,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Short-term,1,9,1,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Short-term,1,10,51,Exam,quiz,Time Constraints,Visual
intermediate,Web Development,Morning,Short-term,1,6,42,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,28,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Long-term,1,6,28,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Long-term,1,6,48,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Long-term,1,6,51,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,55,Exam,quiz,Time Constraints,Visual
intermediate,Devops and Systems Integration,Morning,Long-term,1,6,19,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Long-term,1,6,4,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,5,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,15,Exam,quiz,Time Constraints,Visual
intermediate,Devops and Systems Integration,Morning,Long-term,1,6,10,Exam,quiz,Time Constraints,Visual
intermediate,Software Engineering and Development,Morning,Long-term,1,6,26,Exam,quiz,Time Constraints,Visual
intermediate,Artificial Intelligence and Machine Learning,Morning,Long-term,1,6,34,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,59,Exam,quiz,Time Constraints,Visual
intermediate,CyberSecurity,Morning,Long-term,1,6,16,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Long-term,1,6,15,Exam,quiz,Time Constraints,Visual
intermediate,Network and System Administration,Morning,Long-term,1,6,24,Exam,quiz,Time Constraints,Visual
intermediate,IT Project Management,Morning,Long-term,1,6,54,Exam,quiz,Time Constraints,Visual
intermediate,Database Management,Morning,Long-term,1,6,5,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,52,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,1,9,9,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,14,Exam,quiz,Time Constraints,Visual
advanced,Web Development,Morning,Long-term,1,9,3,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Morning,Long-term,1,9,46,Exam,quiz,Time Constraints,Visual
advanced,Software Engineering and Development,Morning,Long-term,1,9,2,Exam,quiz,Time Constraints,Visual
advanced,Software Engineering and Development,Morning,Long-term,1,9,13,Exam,quiz,Time Constraints,Visual
advanced,Database Management,Morning,Long-term,1,9,23,Exam,quiz,Time Constraints,Visual
advanced,Web Development,Morning,Long-term,1,9,18,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,20,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,25,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Morning,Long-term,1,9,50,Exam,quiz,Time Constraints,Visual
advanced,Data Science and Analytics,Morning,Long-term,1,9,49,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,1,9,5,Exam,quiz,Time Constraints,Visual
advanced,Software Engineering and Development,Morning,Long-term,1,9,17,Exam,quiz,Time Constraints,Visual
advanced,Data Science and Analytics,Morning,Long-term,1,9,41,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Morning,Long-term,1,9,20,Exam,quiz,Time Constraints,Visual
advanced,Web Development,Morning,Long-term,1,9,57,Exam,quiz,Time Constraints,Visual
advanced,Devops and Systems Integration,Morning,Long-term,1,9,11,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,9,Exam,quiz,Time Constraints,Visual
advanced,Software Engineering and Development,Morning,Long-term,1,9,39,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,1,9,35,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Morning,Long-term,1,9,54,Exam,quiz,Time Constraints,Visual
advanced,Software Engineering and Development,Morning,Long-term,1,9,45,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,1,9,59,Exam,quiz,Time Constraints,Visual
advanced,Devops and Systems Integration,Morning,Long-term,1,9,49,Exam,quiz,Time Constraints,Visual
advanced,Data Science and Analytics,Morning,Long-term,1,9,36,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,1,9,35,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Morning,Long-term,2,9,7,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,2,9,35,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,2,9,25,Exam,quiz,Time Constraints,Visual
advanced,Cloud Computing,Morning,Long-term,2,9,50,Exam,quiz,Time Constraints,Visual
advanced,Network and System Administration,Morning,Long-term,2,9,56,Exam,quiz,Time Constraints,Visual
advanced,Data Science and Analytics,Morning,Long-term,2,9,3,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Morning,Long-term,2,9,21,Exam,quiz,Time Constraints,Visual
advanced,Cloud Computing,Morning,Long-term,2,9,13,Exam,quiz,Time Constraints,Visual
advanced,Web Development,Morning,Long-term,2,9,40,Exam,quiz,Time Constraints,Visual
advanced,Database Management,Morning,Long-term,2,9,53,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,2,9,37,Exam,quiz,Time Constraints,Visual
advanced,Database Management,Morning,Long-term,2,9,19,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Morning,Long-term,2,9,59,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Morning,Long-term,2,9,30,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Morning,Long-term,2,9,10,Exam,quiz,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Long-term,2,9,11,Exam,quiz,Time Constraints,Visual
advanced,Web Development,Afternoon,Long-term,2,9,19,Exam,quiz,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,2,9,55,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,2,9,8,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,2,9,5,Exam,quiz,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,2,9,51,Exam,quiz,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,2,9,3,Exam,quiz,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,2,9,6,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,2,9,40,Exam,quiz,Time Constraints,Visual
advanced,Data Science and Analytics,Afternoon,Long-term,2,9,18,Exam,quiz,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,2,9,38,Exam,quiz,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,2,10,13,Exam,quiz,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,2,10,7,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,2,10,45,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,2,10,46,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,2,10,52,Exam,text,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,2,10,59,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,2,10,48,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,2,10,54,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Long-term,2,10,1,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,2,10,8,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,2,10,22,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Long-term,2,10,31,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Long-term,2,10,7,Exam,text,Time Constraints,Visual
advanced,Web Development,Afternoon,Long-term,2,10,24,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,2,10,23,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,1,10,29,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,2,10,39,Exam,text,Time Constraints,Visual
advanced,Data Science and Analytics,Afternoon,Long-term,3,10,60,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,4,10,8,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,5,10,7,Exam,text,Time Constraints,Visual
advanced,Data Science and Analytics,Afternoon,Long-term,6,10,28,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,7,10,23,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,8,10,27,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,9,10,33,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,10,10,40,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,11,10,37,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,12,10,6,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,13,10,22,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Long-term,14,10,46,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,15,10,51,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,16,10,45,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,17,10,37,Exam,text,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,18,10,59,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,19,10,16,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,20,10,32,Exam,text,Time Constraints,Visual
advanced,Web Development,Afternoon,Long-term,21,10,37,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,22,10,37,Exam,text,Time Constraints,Visual
advanced,Web Development,Afternoon,Long-term,23,10,57,Exam,text,Time Constraints,Visual
advanced,Web Development,Afternoon,Long-term,24,10,41,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,25,10,56,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,26,10,53,Exam,text,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,27,10,43,Exam,text,Time Constraints,Visual
advanced,Software Engineering and Development,Afternoon,Long-term,28,10,18,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,29,10,30,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Long-term,30,10,34,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,31,10,20,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Long-term,32,10,1,Exam,text,Time Constraints,Visual
advanced,Database Management,Afternoon,Long-term,33,10,1,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Long-term,34,10,2,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,35,10,32,Exam,text,Time Constraints,Visual
advanced,Software Engineering and Development,Afternoon,Long-term,36,10,31,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Long-term,37,10,6,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Afternoon,Long-term,38,10,7,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Afternoon,Short-term,39,10,55,Exam,text,Time Constraints,Visual
advanced,Cloud Computing,Afternoon,Short-term,40,10,11,Exam,text,Time Constraints,Visual
advanced,Data Science and Analytics,Afternoon,Short-term,41,10,54,Exam,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Afternoon,Short-term,42,10,36,Exam,text,Time Constraints,Visual
advanced,CyberSecurity,Afternoon,Short-term,43,10,23,Exam,text,Time Constraints,Visual
advanced,Network and System Administration,Afternoon,Short-term,44,10,57,Exam,text,Time Constraints,Visual
advanced,Artificial Intelligence and Machine Learning,Evening,Short-term,45,10,42,Exam,text,Time Constraints,Visual
advanced,IT Project Management,Evening,Short-term,46,10,29,Knowledge,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Evening,Short-term,47,10,49,Knowledge,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Evening,Short-term,48,10,16,Knowledge,text,Time Constraints,Visual
advanced,Data Science and Analytics,Evening,Short-term,49,10,53,Knowledge,text,Time Constraints,Visual
advanced,CyberSecurity,Evening,Short-term,50,10,39,Knowledge,text,Time Constraints,Visual
advanced,Cloud Computing,Evening,Short-term,51,10,21,Knowledge,text,Time Constraints,Visual
advanced,Software Engineering and Development,Evening,Short-term,52,10,23,Knowledge,text,Time Constraints,Visual
advanced,Devops and Systems Integration,Evening,Short-term,53,10,45,Knowledge,text,Time Constraints,Visual
intermediate,Web Development,Evening,Short-term,54,10,8,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Data Science and Analytics,Evening,Short-term,55,10,32,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Web Development,Evening,Short-term,56,10,32,Knowledge,text,Time Constraints,Kinesthetic
intermediate,IT Project Management,Evening,Short-term,57,10,20,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Data Science and Analytics,Evening,Short-term,58,10,46,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Network and System Administration,Evening,Short-term,59,10,27,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Cloud Computing,Evening,Short-term,60,10,48,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Web Development,Evening,Short-term,61,10,56,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Artificial Intelligence and Machine Learning,Evening,Short-term,62,10,10,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Network and System Administration,Evening,Short-term,63,10,58,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Network and System Administration,Evening,Short-term,64,10,52,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Artificial Intelligence and Machine Learning,Evening,Short-term,65,10,37,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Network and System Administration,Evening,Short-term,66,10,20,Knowledge,text,Time Constraints,Kinesthetic
intermediate,IT Project Management,Evening,Short-term,67,10,58,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Cloud Computing,Evening,Short-term,68,10,59,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Web Development,Evening,Short-term,69,10,19,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Data Science and Analytics,Evening,Short-term,70,10,58,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Devops and Systems Integration,Evening,Short-term,71,10,43,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Software Engineering and Development,Evening,Short-term,72,10,27,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Database Management,Evening,Short-term,73,10,8,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Software Engineering and Development,Evening,Short-term,74,10,55,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Data Science and Analytics,Evening,Short-term,75,10,13,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Artificial Intelligence and Machine Learning,Evening,Short-term,76,10,9,Knowledge,text,Time Constraints,Kinesthetic
intermediate,IT Project Management,Evening,Short-term,77,10,49,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Web Development,Evening,Short-term,78,10,11,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Web Development,Evening,Short-term,79,10,37,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Artificial Intelligence and Machine Learning,Evening,Short-term,80,10,2,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,81,10,9,Knowledge,text,Time Constraints,Visual
intermediate,Software Engineering and Development,Evening,Short-term,82,10,47,Knowledge,text,Time Constraints,Visual
intermediate,Devops and Systems Integration,Evening,Short-term,83,10,52,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,84,10,30,Knowledge,text,Time Constraints,Visual
intermediate,Devops and Systems Integration,Evening,Short-term,85,10,49,Knowledge,text,Time Constraints,Visual
intermediate,Web Development,Evening,Short-term,86,10,34,Knowledge,text,Time Constraints,Visual
intermediate,Data Science and Analytics,Evening,Short-term,87,10,38,Knowledge,text,Time Constraints,Visual
intermediate,Software Engineering and Development,Evening,Short-term,88,10,53,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,89,10,48,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,90,10,36,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,91,10,2,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,92,10,46,Knowledge,text,Time Constraints,Visual
intermediate,Devops and Systems Integration,Evening,Short-term,93,10,26,Knowledge,text,Time Constraints,Visual
intermediate,Network and System Administration,Evening,Short-term,94,10,14,Knowledge,text,Time Constraints,Visual
intermediate,Software Engineering and Development,Evening,Short-term,95,10,29,Knowledge,text,Time Constraints,Visual
intermediate,CyberSecurity,Evening,Short-term,96,10,47,Knowledge,text,Time Constraints,Visual
intermediate,CyberSecurity,Evening,Short-term,97,10,43,Knowledge,text,Time Constraints,Visual
intermediate,Devops and Systems Integration,Evening,Short-term,98,10,33,Knowledge,text,Time Constraints,Visual
intermediate,Data Science and Analytics,Evening,Short-term,99,10,33,Knowledge,text,Time Constraints,Visual
intermediate,Software Engineering and Development,Evening,Short-term,100,10,32,Knowledge,text,Time Constraints,Visual
intermediate,IT Project Management,Evening,Short-term,5,10,47,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Data Science and Analytics,Evening,Short-term,6,10,39,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Devops and Systems Integration,Evening,Short-term,7,10,35,Knowledge,text,Time Constraints,Kinesthetic
intermediate,CyberSecurity,Evening,Short-term,8,10,43,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Devops and Systems Integration,Evening,Short-term,9,10,45,Knowledge,text,Time Constraints,Kinesthetic
intermediate,IT Project Management,Evening,Short-term,10,10,36,Knowledge,text,Time Constraints,Kinesthetic
intermediate,CyberSecurity,Evening,Short-term,11,10,22,Knowledge,text,Time Constraints,Kinesthetic
intermediate,CyberSecurity,Evening,Short-term,12,10,20,Knowledge,text,Time Constraints,Kinesthetic
intermediate,CyberSecurity,Evening,Short-term,13,10,21,Knowledge,text,Time Constraints,Kinesthetic
intermediate,CyberSecurity,Evening,Short-term,14,10,6,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Devops and Systems Integration,Evening,Short-term,15,10,20,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Cloud Computing,Evening,Short-term,16,10,32,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Network and System Administration,Evening,Short-term,17,10,59,Knowledge,text,Time Constraints,Kinesthetic
intermediate,Artificial Intelligence and Machine Learning,Evening,Short-term,18,10,42,Knowledge,text,Time Constraints,Kinesthetic
