Subject,Course Score,Learning Score,Quiz Score,Complexity,Learning Content
Software Engineering and Development,10,29,28,Beginner,Quiz
IT Project Management,4,22,31,Beginner,Quiz
CyberSecurity,0,23,31,Beginner,Quiz
CyberSecurity,3,3,0,Beginner,Video
Web Development,16,1,4,Beginner,Assignment
Network and System Administration,19,35,39,Beginner,Quiz
IT Project Management,7,13,11,Beginner,Quiz
Cloud Computing,34,7,11,Beginner,Assignment
Web Development,24,24,16,Beginner,Video
Software Engineering and Development,25,18,6,Beginner,Video
Devops and Systems Integration,27,8,39,Beginner,Assignment
Web Development,17,12,25,Beginner,Assignment
Artificial Intelligence and Machine Learning,14,13,31,Beginner,Assignment
CyberSecurity,6,14,29,Beginner,Quiz
IT Project Management,17,40,22,Beginner,Quiz
Web Development,25,9,23,Beginner,Assignment
CyberSecurity,11,20,39,Beginner,Quiz
IT Project Management,1,38,38,Beginner,Quiz
Software Engineering and Development,6,12,0,Beginner,Video
Software Engineering and Development,13,8,39,Beginner,Assignment
IT Project Management,37,7,4,Beginner,Video
Web Development,8,37,7,Beginner,Video
Data Science and Analytics,3,16,35,Beginner,Quiz
Cloud Computing,13,4,21,Beginner,Assignment
CyberSecurity,32,29,40,Beginner,Assignment
Database Management,36,12,28,Beginner,Assignment
Artificial Intelligence and Machine Learning,15,2,40,Beginner,Assignment
IT Project Management,11,10,37,Beginner,Assignment
Data Science and Analytics,34,22,29,Beginner,Assignment
Artificial Intelligence and Machine Learning,35,15,33,Beginner,Assignment
Network and System Administration,29,19,25,Beginner,Assignment
Software Engineering and Development,20,34,5,Beginner,Video
Data Science and Analytics,16,4,28,Beginner,Assignment
IT Project Management,8,9,5,Beginner,Video
Network and System Administration,0,8,3,Beginner,Quiz
Devops and Systems Integration,8,22,9,Beginner,Quiz
Artificial Intelligence and Machine Learning,39,9,11,Beginner,Assignment
Web Development,17,26,18,Beginner,Quiz
Cloud Computing,26,37,17,Beginner,Video
Cloud Computing,38,15,28,Beginner,Assignment
Data Science and Analytics,18,9,23,Beginner,Assignment
Web Development,25,11,12,Beginner,Assignment
Data Science and Analytics,34,5,9,Beginner,Assignment
Cloud Computing,1,2,31,Beginner,Quiz
IT Project Management,38,36,27,Beginner,Video
IT Project Management,30,30,9,Beginner,Video
Devops and Systems Integration,0,9,27,Beginner,Quiz
IT Project Management,7,25,26,Beginner,Quiz
IT Project Management,16,10,13,Beginner,Assignment
Web Development,25,37,38,Beginner,Quiz
Network and System Administration,29,18,15,Beginner,Video
Data Science and Analytics,19,12,37,Beginner,Assignment
Cloud Computing,1,9,33,Beginner,Quiz
Web Development,6,35,37,Beginner,Quiz
Software Engineering and Development,28,40,18,Beginner,Video
Web Development,33,33,11,Beginner,Video
Web Development,4,38,21,Beginner,Quiz
Web Development,18,14,38,Beginner,Assignment
Artificial Intelligence and Machine Learning,4,23,31,Beginner,Quiz
Network and System Administration,2,26,9,Beginner,Quiz
CyberSecurity,21,31,23,Beginner,Quiz
CyberSecurity,38,37,18,Beginner,Video
CyberSecurity,12,15,26,Beginner,Quiz
Cloud Computing,37,40,24,Beginner,Video
CyberSecurity,28,22,19,Beginner,Video
Web Development,19,11,8,Beginner,Video
Devops and Systems Integration,4,31,21,Beginner,Quiz
CyberSecurity,34,29,26,Beginner,Video
Artificial Intelligence and Machine Learning,2,5,28,Beginner,Quiz
Web Development,19,9,9,Beginner,Assignment
Devops and Systems Integration,17,40,16,Beginner,Video
CyberSecurity,20,1,30,Beginner,Assignment
CyberSecurity,0,27,39,Beginner,Quiz
Devops and Systems Integration,1,10,24,Beginner,Quiz
Artificial Intelligence and Machine Learning,28,6,17,Beginner,Assignment
Artificial Intelligence and Machine Learning,11,33,5,Beginner,Video
Cloud Computing,5,0,24,Beginner,Assignment
Artificial Intelligence and Machine Learning,21,23,3,Beginner,Video
Software Engineering and Development,38,10,33,Beginner,Assignment
Cloud Computing,15,14,34,Beginner,Assignment
Devops and Systems Integration,25,33,1,Beginner,Video
CyberSecurity,25,28,24,Beginner,Video
Artificial Intelligence and Machine Learning,2,9,6,Beginner,Quiz
Database Management,10,27,28,Beginner,Quiz
CyberSecurity,26,20,30,Beginner,Assignment
Cloud Computing,37,34,5,Beginner,Video
Software Engineering and Development,3,11,11,Beginner,Quiz
IT Project Management,0,3,14,Beginner,Quiz
Devops and Systems Integration,39,24,22,Beginner,Video
CyberSecurity,14,19,3,Beginner,Video
Artificial Intelligence and Machine Learning,20,38,27,Beginner,Quiz
Web Development,40,27,10,Beginner,Video
Database Management,3,9,31,Beginner,Quiz
Cloud Computing,0,26,39,Beginner,Quiz
Web Development,15,32,13,Beginner,Video
IT Project Management,33,35,29,Beginner,Video
IT Project Management,8,8,27,Beginner,Quiz
Cloud Computing,7,10,16,Beginner,Quiz
Software Engineering and Development,14,29,39,Beginner,Quiz
Devops and Systems Integration,33,4,8,Beginner,Assignment
Software Engineering and Development,37,6,28,Beginner,Assignment
Network and System Administration,33,40,27,Beginner,Video
Artificial Intelligence and Machine Learning,9,37,0,Beginner,Video
Devops and Systems Integration,23,7,30,Beginner,Assignment
Web Development,33,16,8,Beginner,Video
Software Engineering and Development,8,34,36,Beginner,Quiz
Database Management,16,28,35,Beginner,Quiz
Cloud Computing,28,15,30,Beginner,Assignment
Artificial Intelligence and Machine Learning,2,10,10,Beginner,Quiz
Artificial Intelligence and Machine Learning,7,14,4,Beginner,Video
Cloud Computing,18,31,25,Beginner,Quiz
Devops and Systems Integration,16,24,27,Beginner,Quiz
Software Engineering and Development,33,3,36,Beginner,Assignment
Software Engineering and Development,8,16,21,Beginner,Quiz
Software Engineering and Development,29,23,33,Beginner,Assignment
Cloud Computing,17,29,3,Beginner,Video
Artificial Intelligence and Machine Learning,25,4,26,Beginner,Assignment
