Subject,Course Score,Learning Score,quiz Score,Complexity,Learning Content
Software Engineering and Development,10,29,28,beginner,quiz
IT Project Management,4,22,31,beginner,quiz
CyberSecurity,0,23,31,beginner,quiz
CyberSecurity,3,3,0,beginner,video
Web Development,16,1,4,beginner,assignment
Network and System Administration,19,35,39,beginner,quiz
IT Project Management,7,13,11,beginner,quiz
Cloud Computing,34,7,11,beginner,assignment
Web Development,24,24,16,beginner,video
Software Engineering and Development,25,18,6,beginner,video
Devops and Systems Integration,27,8,39,beginner,assignment
Web Development,17,12,25,beginner,assignment
Artificial Intelligence and Machine Learning,14,13,31,beginner,assignment
CyberSecurity,6,14,29,beginner,quiz
IT Project Management,17,40,22,beginner,quiz
Web Development,25,9,23,beginner,assignment
CyberSecurity,11,20,39,beginner,quiz
IT Project Management,1,38,38,beginner,quiz
Software Engineering and Development,6,12,0,beginner,video
Software Engineering and Development,13,8,39,beginner,assignment
IT Project Management,37,7,4,beginner,video
Web Development,8,37,7,beginner,video
Data Science and Analytics,3,16,35,beginner,quiz
Cloud Computing,13,4,21,beginner,assignment
CyberSecurity,32,29,40,beginner,assignment
Database Management,36,12,28,beginner,assignment
Artificial Intelligence and Machine Learning,15,2,40,beginner,assignment
IT Project Management,11,10,37,beginner,assignment
Data Science and Analytics,34,22,29,beginner,assignment
Artificial Intelligence and Machine Learning,35,15,33,beginner,assignment
Network and System Administration,29,19,25,beginner,assignment
Software Engineering and Development,20,34,5,beginner,video
Data Science and Analytics,16,4,28,beginner,assignment
IT Project Management,8,9,5,beginner,video
Network and System Administration,0,8,3,beginner,quiz
Devops and Systems Integration,8,22,9,beginner,quiz
Artificial Intelligence and Machine Learning,39,9,11,beginner,assignment
Web Development,17,26,18,beginner,quiz
Cloud Computing,26,37,17,beginner,video
Cloud Computing,38,15,28,beginner,assignment
Data Science and Analytics,18,9,23,beginner,assignment
Web Development,25,11,12,beginner,assignment
Data Science and Analytics,34,5,9,beginner,assignment
Cloud Computing,1,2,31,beginner,quiz
IT Project Management,38,36,27,beginner,video
IT Project Management,30,30,9,beginner,video
Devops and Systems Integration,0,9,27,beginner,quiz
IT Project Management,7,25,26,beginner,quiz
IT Project Management,16,10,13,beginner,assignment
Web Development,25,37,38,beginner,quiz
Network and System Administration,29,18,15,beginner,video
Data Science and Analytics,19,12,37,beginner,assignment
Cloud Computing,1,9,33,beginner,quiz
Web Development,6,35,37,beginner,quiz
Software Engineering and Development,28,40,18,beginner,video
Web Development,33,33,11,beginner,video
Web Development,4,38,21,beginner,quiz
Web Development,18,14,38,beginner,assignment
Artificial Intelligence and Machine Learning,4,23,31,beginner,quiz
Network and System Administration,2,26,9,beginner,quiz
CyberSecurity,21,31,23,beginner,quiz
CyberSecurity,38,37,18,beginner,video
CyberSecurity,12,15,26,beginner,quiz
Cloud Computing,37,40,24,beginner,video
CyberSecurity,28,22,19,beginner,video
Web Development,19,11,8,beginner,video
Devops and Systems Integration,4,31,21,beginner,quiz
CyberSecurity,34,29,26,beginner,video
Artificial Intelligence and Machine Learning,2,5,28,beginner,quiz
Web Development,19,9,9,beginner,assignment
Devops and Systems Integration,17,40,16,beginner,video
CyberSecurity,20,1,30,beginner,assignment
CyberSecurity,0,27,39,beginner,quiz
Devops and Systems Integration,1,10,24,beginner,quiz
Artificial Intelligence and Machine Learning,28,6,17,beginner,assignment
Artificial Intelligence and Machine Learning,11,33,5,beginner,video
Cloud Computing,5,0,24,beginner,assignment
Artificial Intelligence and Machine Learning,21,23,3,beginner,video
Software Engineering and Development,38,10,33,beginner,assignment
Cloud Computing,15,14,34,beginner,assignment
Devops and Systems Integration,25,33,1,beginner,video
CyberSecurity,25,28,24,beginner,video
Artificial Intelligence and Machine Learning,2,9,6,beginner,quiz
Database Management,10,27,28,beginner,quiz
CyberSecurity,26,20,30,beginner,assignment
Cloud Computing,37,34,5,beginner,video
Software Engineering and Development,3,11,11,beginner,quiz
IT Project Management,0,3,14,beginner,quiz
Devops and Systems Integration,39,24,22,beginner,video
CyberSecurity,14,19,3,beginner,video
Artificial Intelligence and Machine Learning,20,38,27,beginner,quiz
Web Development,40,27,10,beginner,video
Database Management,3,9,31,beginner,quiz
Cloud Computing,0,26,39,beginner,quiz
Web Development,15,32,13,beginner,video
IT Project Management,33,35,29,beginner,video
IT Project Management,8,8,27,beginner,quiz
Cloud Computing,7,10,16,beginner,quiz
Software Engineering and Development,14,29,39,beginner,quiz
Devops and Systems Integration,33,4,8,beginner,assignment
Software Engineering and Development,37,6,28,beginner,assignment
Network and System Administration,33,40,27,beginner,video
Artificial Intelligence and Machine Learning,9,37,0,beginner,video
Devops and Systems Integration,23,7,30,beginner,assignment
Web Development,33,16,8,beginner,video
Software Engineering and Development,8,34,36,beginner,quiz
Database Management,16,28,35,beginner,quiz
Cloud Computing,28,15,30,beginner,assignment
Artificial Intelligence and Machine Learning,2,10,10,beginner,quiz
Artificial Intelligence and Machine Learning,7,14,4,beginner,video
Cloud Computing,18,31,25,beginner,quiz
Devops and Systems Integration,16,24,27,beginner,quiz
Software Engineering and Development,33,3,36,beginner,assignment
Software Engineering and Development,8,16,21,beginner,quiz
Software Engineering and Development,29,23,33,beginner,assignment
Cloud Computing,17,29,3,beginner,video
Artificial Intelligence and Machine Learning,25,4,26,beginner,assignment
Network and System Administration,21,25,3,beginner,video
CyberSecurity,11,10,31,beginner,assignment
IT Project Management,7,5,15,beginner,assignment
Network and System Administration,33,18,25,beginner,assignment
Data Science and Analytics,22,10,30,beginner,assignment
Web Development,33,35,0,beginner,video
Network and System Administration,13,13,20,beginner,quiz
Web Development,33,32,2,beginner,video
IT Project Management,33,20,16,beginner,video
Cloud Computing,38,4,3,beginner,video
Database Management,20,19,4,beginner,video
Web Development,28,9,1,beginner,video
